nazwa;podmiot;bazyl;kod_kreskowy;klasyfikacja
APIPULMOL;APIPOL-FARMA;000700;05909990822010;R05CA
AETHER AETHYLICUS PRO NARCOSI;PRONIT;000203;05909990273515;N01AA
ALBUMINA LUDZKA 5% DO STOSOWANIA DOØYLNEGO;BIOMED WARSZAWA;000262;05909990223923;B05AA
AMONIAK 25% ROZTW”R;AMARA;000470;05901315021115;V07AY
AMOKSIKLAV 500 MG + 100 MG;SANDOZ;000476;05909990352821;J01CR
APO-DICLO 50;APOTEX;000735;05909990176335;M01AB
APO-ISDN 10;APOTEX;000749;05909990265336;C01DA
APO-PIROXICAM 20;APOTEX;000767;05909990175826;M01AC
APO-TRIFLUOPERAZINE 5;APOTEX;000788;05909990177325;N05AB
BETA KAROTEN;HOLBEX;001183;05909990254712;A11CA
BETALOC ZOK 100;INPHARM/ASTRAZENECA;001207;05909997208497;C07AB
BIBLOC;SANDOZ;001467;05909990860593;C07AB
BUSCOPAN;INPHARM/IPSEN;001486;05909997075617;A03BB
CALCIUM-SANDOZ FORTE;SANDOZ;001550;05909990252213;A12AA
CHENOFALK;FALK;001727;05909990271115;A05AA
CIGNODERM 1;SANOFI-AVENTIS, RZESZ”W;001828;05909990233113;D05AC
DOXAZOSIN GENOPTIM;SYNOPTIS;001916;05909991288709;C02CA
DOXAZOSIN GENOPTIM;SYNOPTIS;001919;05909991288730;C02CA
DEMACYLAN;SANDOZ;002150;05909991199715;L01AA
ATREDERM 0,05%;TEVA;000952;05909990136810;D10AD
AVIOMARIN;TEVA KRAK”W;000983;05909990136711;A04AD
AVIOMARIN;TEVA;000986;05909990324712;A04AD
AZULAN;HERBAPOL WROC£AW;001019;05909990007912;D03AX
RIXUBIS;BAXALTA INNOVATIONS;001088;05909991210137;B02BD
LERCAN;RECORDATI;000154;05391519921708;C08CA
AESCIN;TEVA;000193;05909990126019;C05CX
AMIKACIN B. BRAUN;BRAUN;000408;05909990908646;J01GB
LIPIDEM;BRAUN;000452;05909991204525;B05BA
ANAPRAN;POLFA PABIANICE;000559;05909990132133;M01AE
APHTIN;PROLAB;000692;05909990159857;A01AB
APIPULMOL;TEVA KRAK”W;000701;05909990011926;R05CA
APAP;US PHARMACIA;000065;05909990610082;N02BE
ACONITUM-HOMACCORD;HEEL;000125;05909996351712;V03AX
DUSPATALIN RETARD;AGA KOMMERZ/MYLAN HEALTHCARE;000354;05909991273057;A03AA
IRCOLON GASTRO;POLFARMEX;000355;05909991326074;A03AA
ZIELE FIO£KA TR”JBARWNEGO;KAWON-HURT;001396;05909990021154;D10BX
ACESAN;SUN-FARM;000059;05909990032617;B01AC
MIESZANKI APTECZNE ACNEVULTEN FIX;HERBAPOL LUBLIN;000114;05909990197613;D10BX
ACTRAPID MC;NOVO NORDISK;000145;05909990237616;A10AB
ASCORVITA;NATUR PRODUKT PHARMA;000170;05909990688111;A11GA
ALAX;HERBAPOL POZNA—;000247;05909990006311;A06AB
ALANTAVIT;COEL;000241;05909990203727;D03AX
ALEXAN;MACK;000308;05909990181124;L01BC
ALGESAL-KREM;SOLVAY;000316;05909990267019;M02AC
ACIDUM E-AMINOCAPRONICUM;ZIO£OLEK;000082;05909990041411;B02AA
ALEXAN;EBEWE;000310;05909990181216;L01BC
ROZTWORY DO TEST”W PUNKTOWYCH;ALLERGOPHARMA;000329;05909990062119;V04CL
AMINOFILINA CZOPKI PEDIATRYCZNE;FARMJUG;000415;05909990235315;R03DA
RANIGAST MAX;POLPHARMA;000774;05909990966561;A02BA
ASCOFER;ESPEFA;000889;05909990325313;B03AE
BACLOFEN POLPHARMA;POLPHARMA;001035;05909990033713;M03BX
BECLOMET NASAL;ORION;001094;05909990145812;R01AD
BIOTUM;POLPHARMA;001302;05909990999613;J01DD
ALVITYL;SOLVAY;000392;05909990267118;A11BA
IVABRADINE CHANELLE MEDICAL;CHANELLE MEDICAL;000747;05909991313555;C01EB
PROPRANOLOL ACCORD;ACCORD HEALTHCARE;000769;05909991033545;C07AA
ARTECHOLIN;PHYTOPHARM KL KA;000871;05909990062430;A05AX
AMOL;TAKEDA;000481;05909990006410;V03AX
AUGMENTIN 600 MG;POLFA TARCHOMIN;000967;05909990318711;J01CR
BARIJODEEL;HEEL;001063;05909996344912;V03AX
BRONCHOPRONT;MACK;001449;05909990234912;R05CB
BIA£Y W GIEL;OMNIFARMA;001597;04820118800011;A07BA
CLARITINE;SCHERING-PLOUGH;001885;05909990121519;R06AX
BIORUBINA;INSTYTUT BIOTECHNOLOGII I ANTYBIOTYK”W;001297;05909990129515;L01DB
BIOVITAL PAMI ∆;LICHTENHELDT;001313;05908229301425;A13A
BLASTOLEM;LEMERY;001346;05909990307517;L01XA
COLODENT CITRUS MINT;COLGATE-PALMOLIVE POLAND;002012;05900017165004;A01AA
CORNEREGEL FLUID;MANN;002084;05909991130312;S01XA
CORVATON;HOECHST MARION ROUSSEL;002106;05909990152315;C01DX
BRYACONEEL;HEEL;001458;05909990426508;V03AX
CARBO COMPOSITUM;HEEL;001593;05909990426744;V03AX
CATAPRESAN;BOEHRINGER INGELHEIM;001633;05909990102914;C02AC
CEBION;MERCK;001650;05909990259311;A11GA
CILEST;JANSSEN-CILAG;001835;05909990128112;G03AA
DETREOMYCYNA 1%;CHEMA-ELEKTROMET;002391;05909990328512;D06AX
DERMOVIT F;COEL;002357;05909990203925;D02AC
MIDAZOLAM ACCORD;ACCORD HEALTHCARE;002666;05909990718771;N05CD
KALENDULISS;DR. THEISS NATURWAREN;002707;05909990099412;D03AX
CETIX PLUS;CETIX;001702;05909990048816;R01AX
CHINA-HOMACCORD S;HEEL;001729;05909990426874;V03AX
COREGA TABS BIO FORMEL;BLOCK DRUG;002067;00000040474113;V07AY
ALPHACALCIDOLUM;GLAXOSMITHKLINE, POZNA—;000350;05909990296910;A11CC
ANCRUSAL;TEVA KUTNO;000581;05909990202010;A02BX
ASPARGIN;FILOFARM;000906;05909990210718;A12CX
DR. THEISS SCHWEDENKRAEUTER;DR. THEISS NATURWAREN;002714;05909990099511;A16AX
DUPHASTON;SOLVAY;002743;05909990078226;G03DB
ELOCOM;MERCK SHARP & DOHME;002880;05909990278916;D07AC
FLEBOGAMMA DIF;GRIFOLS;001274;05909990836079;J06BA
BISACODYL GSK;GLAXOSMITHKLINE, POZNA—;001315;05909990257010;A06AB
PRILOTEKAL;MOLTENI;001871;05909991140977;N01BB
WODNY ROZTW”R FIOLETU GENCJANOWEGO 1%;GEMI;003230;05909990316946;D08AX
WODNY ROZTW”R FIOLETU GENCJANOWEGO 2%;GEMI;003232;05909990317042;D08AX
ASPIRIN CARDIO;DELFARMA/BAYER;003566;05909991256593;B01AC
KODEINY FOSFORAN P”£WODNY;GALFARM KRAK”W;001953;05909991280239;R05DA
KODEINY FOSFORAN P”£WODNY;GALFARM KRAK”W;001956;05909991280222;R05DA
COFFECORN MITE;FILOFARM;001962;05909990211012;N02CA
EFEROX 50;HEXAL;002800;05909990131228;H03AA
EFEROX 50;HEXAL;002801;05909990131211;H03AA
EUTHYROX 50;MERCK;003067;05909990177813;H03AA
GLICERYNA 85%;COEL;003666;05909990623822;D02AX
GROFIBRAT;GEDEON RICHTER POLSKA;003784;05909990109814;C10AB
GROFILINA;GEDEON RICHTER POLSKA;003785;05909990010219;C04AD
6% DEKSTRAN 70000 FRESENIUS;FRESENIUS KABI POLSKA;002274;05909990330416;B05AA
DEXAVEN;PHARMASWISS;002410;05909990107728;H02AB
DICUNO;VITABALANS;002455;05909990937400;M01AB
CYTOTECT BIOTEST;BIOTEST;002168;05909990072736;J06BB
DEBECYLINA;POLFA TARCHOMIN;002251;05909990310722;J01CE
EBRANTIL 25;TAKEDA;002775;05909990179817;C02CA
ESPERAL;SANOFI WINTHROP;002997;05909990164219;N07BB
FENISTIL;BLAU FARMA/GLAXOSMITHKLINE;003173;05909997199443;R06AB
AKNEMYCIN;INPHARM/ALMIRALL HERMAL;000106;05909997075785;D10AF
AESCULUS COMPOSITUM;HEEL;000197;05909990426188;V03AX
AESCULUS-HEEL;HEEL;000200;05909990426164;V03AX
AMOL;TAKEDA;000483;05909990006434;V03AX
APIS-HOMACCORD;HEEL;000703;05909990426263;V03AX
GROSEPTOL 480;GEDEON RICHTER POLSKA;003791;05909990118113;J01EE
INJECTIO GLUCOSI ISOTONICA ET NATRII CHLORATI ISOTONICA 1:1;BAXTER MANUFACTURING;004339;05909990274819;B05BB
INJECTIO GLUCOSI ISOTONICA ET NATRII CHLORATI ISOTONICA 1:1;BAXTER MANUFACTURING;004342;05909990274826;B05BB
INJECTIO GLUCOSI ISOTONICA ET NATRII CHLORATI ISOTONICA 2:1;BAXTER MANUFACTURING;004350;05909990222827;B05BB
INTRACTUM VISCI;PHYTOPHARM KL KA;004446;05909990047314;C03BX
ISOPTIN SR;KNOLL;004536;05909990100613;C08DA
CEFAZOLIN HOSPIRA;HOSPIRA;004638;05909991185435;J01DB
K£•CZE PI CIORNIKA;FLOS;004695;05909990628537;A07XA
KLOSTERFRAU AKTIV KAPSELN;KLOSTERFRAU;004714;05909990014125;A13A
KORZE— ARCYDZI GLA;FLOS;004769;05909994308916;A16AX
KORZE— LUBCZYKA;ZIO£A LECZNICZE - BOGUCCY;004782;05909994380936;C03BX
KORZE— PRAWO∂LAZU;FLOS;004806;05909994309821;R05X
KWIATOSTAN LIPY;FLOS;004907;05906365702632;N02BG
LI∂∆ MELISY;FLOS;005244;05909994310759;N05CM
MANUSAN;SENSILAB POLSKA;005533;05909991301842;D08AC
BISEKO;BIOTEST;001321;05909990073948;B05AA
BISOLVON;BOEHRINGER INGELHEIM;001332;05909990296217;R05CB
CACTUS COMPOSITUM;HEEL;001499;05909990426546;V03AX
CAUSTICUM COMPOSITUM;HEEL;001639;05909990426768;V03AX
CEREBRUM COMP.;HEEL;001688;05909990886241;N07XX
CHINA-HOMACCORD S;HEEL;001732;05909990426898;V03AX
CLONAZEPAMUM TZF;POLFA TARCHOMIN;001913;05909990135615;N03AE
COLISTIN TZF;POLFA TARCHOMIN;002002;05909990366415;J01XB
DAFNEGIN;POLI INDUSTRIA CHIMICA;002204;05909990154227;G01AX
DAVERCIN;POLFA TARCHOMIN;002245;05909990271214;D10AF
NORADRENALINE AGUETTANT;AGUETTANT;002637;05909991286439;C01CA
EFFORTIL;BOEHRINGER INGELHEIM;002817;05909990103119;C01CA
ELENIUM;POLFA TARCHOMIN;002854;05909990215409;N05BA
ELENIUM;POLFA TARCHOMIN;002858;05909990219537;N05BA
ERYTHROMYCINUM TZF;POLFA TARCHOMIN;002988;05909990295616;J01FA
ESTAZOLAM TZF;POLFA TARCHOMIN;003022;05909990135714;N05CD
AFRONIS;ELANDA;000182;05909990006519;D10AX
AMOL;TAKEDA;000482;05909990006427;V03AX
AMOXYCILLIN;NORTON;000490;05909990138319;J01CA
ANGIN-HEEL S;HEEL;000596;05909990426201;V03AX
ARNICA-HEEL;HEEL;000853;05909990426331;V03AX
ATENOLOL;NORTON;000947;05909990234110;C07AB
ATROVENT;BOEHRINGER INGELHEIM;000963;05909990102617;R03BB
BETO 25 ZK;INPHARM/SANDOZ;001206;05909997224855;C07AB
FAMOGAST;POLPHARMA;003113;05909990014729;A02BA
FENTANYL JANSSEN;JANSSEN-CILAG;003184;05909990127627;N02AB
FLUANXOL;LUNDBECK;003318;05909991074289;N05AF
FRAXIPARINE;ASPEN;003414;05909990075720;B01AB
GINSANA G115;GINSANA;003654;05909990022717;A13A
VENNIFEM;POLPHARMA;003924;05909990881499;C05BA
DORMICUM;ROCHE;002667;05909990094417;N05CD
DOXIUM;OM PHARMA;002686;05909990280735;C05BX
DURACEF;PHARMASWISS;002746;05909990050918;J01DB
DURACEF;PHARMASWISS;002750;05909990051113;J01DB
FELDENE;DELFARMA/PFIZER;003133;05909997200224;M01AC
FENACTIL;TEVA KUTNO;003155;05909990188918;N05AA
DANTROLEN;PROCTER & GAMBLE PHARMACEUTICALS;002235;05909990327423;M03CA
DENTACIN;MONTEFARMACO;002296;05909990303410;A01AD
INJECTIO GLUCOSI 5% + NATRII CHLORATI 0,9% 2:1 VIAFLO;BAXTER;002414;05909990864799;B05BB
BISEKO;BIOTEST;001319;05909990073931;B05AA
BRYACONEEL;HEEL;001457;05909990426522;V03AX
CACTUS COMPOSITUM;HEEL;001501;05909990426539;V03AX
CANTHARIS COMPOSITUM S;HEEL;001569;05909990426607;V03AX
CANTHARIS COMPOSITUM S;HEEL;001570;05909990426652;V03AX
CARBENICILLIN;POLFA TARCHOMIN;001591;05909990056811;J01CA
CEANOTHUS-HOMACCORD;HEEL;001649;05909996352016;V03AX
CHLOROPERNAZINUM;LABOR;001776;05909990202713;N05AB
CLONAZEPAMUM TZF;POLFA TARCHOMIN;001912;05909990135516;N03AE
COLDREX MAXGRIP C;OMEGA PHARMA;001976;05909990278220;R05X
DAVERCIN;POLFA TARCHOMIN;002247;05909990087419;J01FA
DEBECYLINA;POLFA TARCHOMIN;002252;05909990310623;J01CE
DIPHERGAN;NYCOMED PHARMA, £YSZKOWICE;002533;05909990158515;R06AD
DOXYCYCLINUM TZF;POLFA TARCHOMIN;002694;05909990072316;J01AA
TADROXIL;POLFA TARCHOMIN;002748;05909990833085;J01DB
TADROXIL;POLFA TARCHOMIN;002749;05909990834433;J01DB
FIOLET GENCJANOWY 1% ROZTW”R WODNY;GDA—SKIE LABORATORIUM GALENOWE CEFARM;003224;05909990260713;D08AX
GENTAMICIN TZF;POLFA TARCHOMIN;003596;05909990339013;J01GB
HEPATECT;BIOTEST;003953;05909990072828;J06BB
HUMAN ALBUMIN 20% BIOTEST O NISKIEJ ZAWARTO∂CI ELEKTROLIT”W;BIOTEST;004147;05909990213528;B05AA
KELP;OLIMP;004646;05901330055133;H03CA
VALDISPERT STRES;VEMEDIA;004965;05909991347260;N05CX
MYDOCALM;FORFARM/GEDEON RICHTER;006023;05909997076836;M03BX
MYTELASE;SANOFI WINTHROP;006038;05909990030910;N07AA
NOCTOFER;POLFA TARCHOMIN;006441;05909990136315;N05CD
ISOPTO-CARBACHOL 3%;ALCON;004538;05909990051915;S01EB
ALUSTIN;CHEMA-ELEKTROMET;000388;05909990078813;A01AD
AMBIX MENTHOL ICE GEL;KATO;000395;05909990299034;M02AX
MARVELON;MERCK SHARP & DOHME;005548;05909990157624;G03AA
PLANTAGOPHARM PLUS;PHYTOPHARM KL KA;005657;05903473005815;V06DX
MUCOPRONT;MACK;005958;05909990224425;R05CB
ASPAR ESPEFA;ESPEFA;000907;05909990128938;A12CX
ASPIMAG;ESPEFA;000915;05909990011636;B01AC
UPSARIN C;FORFARM/BRISTOL-MYERS SQUIBB;000928;05909997224503;N02BA
EFFERALGAN CODEINE;BLAU FARMA/BRISTOL-MYERS SQUIBB;006875;05909997198002;N02AJ
PANZYTRAT 10000 J.PH.EUR.;PERFFARMA;006903;05909991056421;A09AA
PIPERACILLIN TZF;POLFA TARCHOMIN;007190;05909990421930;J01CA
MYDOCALM FORTE;DELFARMA/GEDEON RICHTER;006005;05909997196862;M03BX
NEO-ANGIN;DIVAPHARMA;006247;05909990166312;R02AA
ZEEN KIDS;SEQUOIA;006296;05901874461605;N05CX
NICORETTE CLASSIC GUM;MCNEIL;006337;05909990334728;N07BA
IVABRADINE CHANELLE MEDICAL;CHANELLE MEDICAL;006407;05909991313418;C01EB
OLEJ KAMFOROWY GEMI;GEMI;006575;05909990678204;M02AX
BENGAY MA∂∆ PRZECIWB”LOWA;MCNEIL;006767;05909990760497;M02AC
BEPANTHEN;DELFARMA/BAYER;006895;05909997076706;D03AX
CISPLATINUM ACCORD;ACCORD HEALTHCARE;007222;05909990894772;L01XA
P£YN NAWADNIAJ•CY INTERWENCYJNY HIPOTONICZNY;BAXTER MANUFACTURING;007275;05909990223312;B05BB
PROPRANOLOL ACCORD;ACCORD HEALTHCARE;007586;05909991033569;C07AA
RING N;MACK;007983;05909990202416;N02BA
VENORUTON GEL;AGA KOMMERZ/GLAXOSMITHKLINE;008096;05909997223391;C05CA
SOLGANAL;SCHERING-PLOUGH;008488;05909990122219;M01CB
BERIPLAST P 0,5 ML;CENTEON;001167;05909990305810;B02BC
BERIPLAST P 3 ML;CENTEON;001169;05909990305834;B02BC
BIOPULP;CHEMA-ELEKTROMET;001295;05907811484041;A01AD
ACTOLIND W SOLUTION;ACTO;001397;04250108306733;D03AX
RUNRAPIQ;AMOMED;001404;05909991323110;C07AB
BSS;ALCON;001461;05909990291823;S01KX
BSS;ALCON;001462;05909990291830;S01KX
BSS PLUS;ALCON;001463;05909990294510;S01KX
CALCIUM HASCO;HASCO-LEK;001516;05909990261413;A12AA
KAMFENOL;CHEMA-ELEKTROMET;001566;05907811484027;A01AD
TEGLUTIK;ITALFARMACO;001574;05909991379339;N07XX
CHAMOMILLA DAGOMED 44 BOLESNE Z•BKOWANIE;DAGOMED;001713;05909990816507;V03AX
CIMICIFUGA-DAGOMED 9 MENOPAUZA;DAGOMED;001842;05909990045075;G02CX
CLOPIXOL ACUPHASE;LUNDBECK;001924;05909990126910;N05AF
CORDAFEN;POLPHARMA;002055;05909990077410;C08CA
ISOPTO-CARPINE 1%;ALCON;004539;05909990186815;S01EB
LAMISIL;NOVARTIS;005002;05909990173211;D01BA
MAJAMIL PROLONGATUM;POLPHARMA;005500;05909990033614;M01AB
SPIRONOL;GEDEON RICHTER POLSKA;008587;05909990110216;C03DA
DOXORUBICINUM ACCORD;ACCORD HEALTHCARE;000186;05909991030599;L01DB
AMIKIN;BRISTOL-MYERS SQUIBB;000411;05909990060511;J01GB
METHOCARBAMOL ESPEFA;ESPEFA;005721;05909991309176;M03BA
METOCARD PROLONGATUM;POLPHARMA;005757;05909990034314;C07AB
INJECTIO NATRII CHLORATI 10%;POLPHARMA;006193;05909990320226;B05XA
FLUCINAR N;PHARMASWISS;003326;05909990090815;D07CC
FLUORODENT;NIVEA POLSKA;003348;05900017140506;A01AA
FORT-E-VITE;LANES;003392;05909990023714;A11HA
NAVOBAN;NOVARTIS;006226;05909990283019;A04AA
NICOTINELL TTS 10;NOVARTIS;006344;05909990622474;N07BA
NITROFURAZON;UNIA;006401;05909990123810;D08AF
NEORELIUM;POLFA TARCHOMIN;007861;05909990726714;N05BA
SIGNOPAM;POLFA TARCHOMIN;008393;05909990136216;N05CD
SUCRALFATE;NORTON;008748;05909990138111;A02BX
NOVOTHYRAL 75;MERCK;006508;05909990178216;H03AA
OVESTIN;ASPEN;006682;05909990040711;G03CA
OVESTIN;ASPEN;006683;05909990040810;G03CA
AMOXIL;SMITHKLINE BEECHAM;000488;05909990064014;J01CA
APHTIN;COEL;000686;05909990203819;A01AB
PROPRANOLOL ACCORD;ACCORD HEALTHCARE;000772;05909991033644;C07AA
PASTA BOROWINOWA LECZNICZA;BIOCHEM;006978;05909990046355;M02AX
POLFENON;POLPHARMA;007332;05909990034239;C01BC
PRESSOCARD;POLPHARMA;007487;05909990039821;C07AG
ACTILYSE 50;BOEHRINGER INGELHEIM;000135;05909990024810;B01AD
ALBOTHYL;TAKEDA;000248;05909990179718;G01AX
AMPICILLIN TZF;POLFA TARCHOMIN;000496;05909990343010;J01CA
PYRALGIN;POLPHARMA;007708;05909990205622;N02BB
RAPIFEN;JANSSEN-CILAG;007795;05909990128013;N01AH
RETIAZID;POLPHARMA;007899;05909990205912;C02LA
AZULAN;PHYTOPHARM KL KA;001016;05909990216437;D03AX
CORGARD;BRISTOL-MYERS SQUIBB;002072;03400934783289;C07AA
CORVATON;HOECHST MARION ROUSSEL;002105;05909990152322;C01DX
AMPICILLIN;NORTON;000518;05909990364428;J01CA
ANANDRON;CASSENNE;000553;05909990152018;L02BB
BIBLOC;INPHARM/SANDOZ;000721;05909991238100;C07AB
AUGMENTIN 156,25 MG;POLFA TARCHOMIN;000965;05909990056712;J01CR
CZOPKI GLICEROLOWE GEMI;GEMI;002177;05909994372214;A06AX
DENTOSEPT;PHYTOPHARM KL KA;002302;05909990029624;A01AD
BIOFENAC;GEDEON RICHTER POLSKA;002466;05909990881321;M01AB
AUGMENTIN 1,2 G;POLFA TARCHOMIN;000969;05909990318810;J01CR
AURUMHEEL N;HEEL;000977;05909990426379;V03AX
BELLADONNA-HOMACCORD;HEEL;001103;05909990426386;V03AX
BELLADONNA-HOMACCORD;HEEL;001106;05909990426461;V03AX
BERODUAL;BOEHRINGER INGELHEIM;001175;05909990101917;R03AL
BRONCHALIS-HEEL;HEEL;001428;05909990426492;V03AX
MIDAZOLAM ACCORD;ACCORD HEALTHCARE;002668;05909990718788;N05CD
ALMIDEN;ACCORD HEALTHCARE;002688;05055565738221;C08CA
DR. THEISS ECHINACEA KRAEUTER TROPFEN;DR. THEISS NATURWAREN;002704;05909990099214;R05X
SANDOSTATIN;NOVARTIS;008221;05909990042814;H01CB
SEPTOPAL 20 MINIKETTE;MERCK;008339;05909990299836;J01GB
DEPAKINE CHRONO 300;INPHARM/SANOFI-AVENTIS;002310;05909997070308;N03AG
CANTHARIS COMPOSITUM S;HEEL;001567;05909990426645;V03AX
CHINA-HOMACCORD S;HEEL;001728;05909990426799;V03AX
CHINA-HOMACCORD S;HEEL;001731;05909990426805;V03AX
ECOMER;KROTEX;002791;05909990076338;L03AX
COLTOWAN;GEDEON RICHTER POLSKA;002876;05907594031906;C10AX
ELOCOM;MERCK SHARP & DOHME;002879;05909990279029;D07AC
CLONAZEPAMUM TZF;POLFA TARCHOMIN;001911;05909990166411;N03AE
COLDREX MAXGRIP C;OMEGA PHARMA;001975;05909990278213;R05X
DENTINOX N ZAHNUNGSHILFE;DENTINOX;002298;05909990090419;A01AD
ELOCOM;MERCK SHARP & DOHME;002881;05909990278923;D07AC
ESSENTIAMIL;POLSKIESUPLEMENTY.PL;003011;05902020391104;A05BA
1% WODNY ROZTW”R FIOLETU GENCJANOWEGO GEMI;GEMI;003229;05909990316922;D08AX
DIKAMFEN;CHEMA-ELEKTROMET;002511;05909990078714;A01AC
DIURAMID;POLPHARMA;002590;05909990033911;S01EC
DROSERA-DAGOMED 2 KASZEL;DAGOMED;002721;05909990045082;V03AX
ECHINACEA DAGOMED 46 CZ STE PRZEZI BIENIA;DAGOMED;002785;05909990851447;V03AX
EFEROX 125;HEXAL;002809;05909990109012;H03AA
FEMIBION VITA FERR;MERCK;002830;05907589874228;B03AA
ELTROXIN;ASPEN;002883;05909990001712;H03AA
ENARENAL;POLPHARMA;002911;05909990015047;C09AA
ESPUMISAN;ICHEM/BERLIN-CHEMIE;003008;05909997214269;A03AX
ESTRADERM TTS 100;NOVARTIS;003026;05909990118618;G03CA
EUCARDIN;UNIA;003050;05909990328819;C01EX
EUTHYROX 100;MERCK;003069;05909990177912;H03AA
EUTHYROX 150;MERCK;003071;05909990178018;H03AA
FLUANXOL DEPOT;LUNDBECK;003320;05909990127214;N05AF
IMATINIB POLPHARMA;POLPHARMA;003356;05903060613300;L01XE
CLOPIZAM;ACCORD HEALTHCARE;000304;05909991327668;N05AH
ALUMAG;GEDEON RICHTER POLSKA;000379;05909990248728;A02AD
AZACTAM;BRISTOL-MYERS SQUIBB;000998;05909990060719;J01DF
BROCALCIN;VIS;001422;05909990364015;N05CM
HEPALINN TOTAL;MADSON;001795;05903240666294;A05BA
COMBIZYM;DAIICHI SANKYO;002019;05909990259519;A09AA
CALCIFEDIOL FAES;FAES;003390;05909991325534;A11CC
FUROSEMIDUM;POLPHARMA;003489;05909990135011;C03CA
GYNO-PEVARYL 150;JANSSEN-CILAG;003814;05909990128419;G01AF
ALANTAN;UNIA;000236;05909990240111;D03AX
PROPRANOLOL ACCORD;ACCORD HEALTHCARE;002070;05909991033576;C07AA
DENTOSEPT;PHYTOPHARM KL KA;002303;05909990029631;A01AD
DERMOVIT A;COEL;002354;05909990260324;D03AX
ZEFADYM;ACTAVIS;003404;05909990717170;J01DD
OWOC ANYØU;HERBALUX;003434;05909990612451;R05CA
GAMMA ANTY-HBS 1000;BIOMED LUBLIN;003498;05909990061013;J06BB
ALANTAN PLUS;UNIA;000240;05909990035113;D03AX
AMINOFILINA CZOPKI PEDIATRYCZNE;FARMJUG;000414;05909990235216;R03DA
AMIZEPIN;POLPHARMA;000468;05909990043910;N03AF
DISTREPTAZA SK-SD;BIOMED WARSZAWA;002577;05909990025213;B01AD
APTEO WIESIO£EK;SYNOPTIS;002835;05907553013646;C10AX
ENDOBULIN S/D;BAXTER;002927;05909990073047;J06BA
ANTREX;ORION;000654;05909990111510;V03AF
BALSAMUM MENTHOLI COMPOSITUM;CHEMA-ELEKTROMET;001053;05909990267514;M02AC
BERIPLAST P 1 ML;CENTEON;001168;05909990305827;B02BC
BLEND-A-MED ZAHNSTEINSCHUTZ;BLENDAX;001359;04001478011259;A01AA
DOLOMIT VIS 250 MG;VIS;002619;05909990185627;A12AX
DOPAMIN;SOLVAY;002644;05909990279111;C01CA
SPITZWEGERICH HUSTENSAFT;DR. THEISS NATURWAREN;002715;05909990099610;R05X
BUDESONIDE EASYHALER;ORION;001465;05909990926602;R03BA
CALCIUM-SANDOZ + VITAMIN C LEMON;NOVARTIS;001548;05909990252312;A12AX
NEOPARIN;SCIENCEPHARMA;001895;05906395161003;B01AB
GLUKOZA BEZWODNA;AFLOFARM;003742;05909990013470;V06DC
HEPARINUM GSK;GLAXOSMITHKLINE, POZNA—;003950;05909990148516;C05BA
IMOVAX POLIO;SANOFI PASTEUR;004287;05909990050246;J07BF
DESFERAL;NOVARTIS;002369;05909990207718;V03AC
DEVISOL-25;CHEMA-ELEKTROMET;002397;05909990227211;A11CC
DIABETOL;POLPHARMA;002425;05909990205417;A10BB
